,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14
LINC00578_CNV,0.32497683877312283,0.007159269778464177,0.10285634958390263,0.00230620586710465,-0.07456979873727852,-0.05040382673230452,0.0018694347187365914,0.0019292009698111854,6.52275091451153e-05,0.012543272876795502,0.06134899978910507,-0.0023412684197432246,0.016045570782538397,-0.05151619953468287
VWA5B2_CNV,0.32617592828349556,0.015899649405689213,0.09796232087985761,0.0012649177354547114,-0.078442078667713,-0.04542583684401486,0.00047947966724984744,-4.0993100293632684e-05,-1.4940250856112754e-05,0.0015709046827462865,0.0686522878491383,-0.010142172304821194,0.02464567879142351,-0.04646513832277167
ALG3_CNV,0.32617592828349556,0.015899649405689213,0.09796232087985761,0.0012649177354547114,-0.078442078667713,-0.04542583684401486,0.00047947966724984744,-4.0993100293632684e-05,-1.4940250856112754e-05,0.0015709046827462865,0.0686522878491383,-0.010142172304821194,0.02464567879142351,-0.04646513832277167
ECE2_CNV,0.32617592828349556,0.015899649405689213,0.09796232087985761,0.0012649177354547114,-0.078442078667713,-0.04542583684401486,0.00047947966724984744,-4.0993100293632684e-05,-1.4940250856112754e-05,0.0015709046827462865,0.0686522878491383,-0.010142172304821194,0.02464567879142351,-0.04646513832277167
MIR1224_CNV,0.32617592828349556,0.015899649405689213,0.09796232087985761,0.0012649177354547114,-0.078442078667713,-0.04542583684401486,0.00047947966724984744,-4.0993100293632684e-05,-1.4940250856112754e-05,0.0015709046827462865,0.0686522878491383,-0.010142172304821194,0.02464567879142351,-0.04646513832277167
CAMK2N2_CNV,0.32617592828349556,0.015899649405689213,0.09796232087985761,0.0012649177354547114,-0.078442078667713,-0.04542583684401486,0.00047947966724984744,-4.0993100293632684e-05,-1.4940250856112754e-05,0.0015709046827462865,0.0686522878491383,-0.010142172304821194,0.02464567879142351,-0.04646513832277167
MAGEF1_CNV,0.32652578192375126,0.014869195995300526,0.09804779196817091,0.0015789204387503485,-0.07782115381806665,-0.0459490348251158,0.0004151165895320181,-1.0332701160795672e-05,-3.8407591873263196e-05,0.00039683588094513813,0.0698380698610184,-0.005661261334995313,0.023699851786269696,-0.04696964071781742
LINC00501_CNV,0.32581046104398625,0.0053530097163549135,0.10091243904694333,0.0049602364313978365,-0.07370274952016904,-0.051586369538951744,0.003718832261352452,0.0022942692426657424,8.281108429556627e-05,0.011134602323391234,0.0622858161716725,-0.0019377014028297637,0.01950204904997929,-0.052506468005366395
VPS8_CNV,0.3260568681674565,0.015007294763365733,0.0978819586022042,0.0016502173281062423,-0.0774484819094509,-0.046045676725974566,0.0003677666746430985,3.688532025947443e-05,-3.6686514126374124e-05,0.00040268131626505543,0.06939354705192563,-0.00644448104902141,0.023855272377763165,-0.04696574183241121
C3orf70_CNV,0.3246138562480586,0.015257130845429723,0.09880509128919382,0.0013124507341954947,-0.07638518799809221,-0.046546980336151816,0.0005115712872989583,1.638292119730799e-05,-8.704765430883795e-05,0.0002982541673785499,0.06990952067682041,-0.004171720665579859,0.025345229685245517,-0.04697629499816476
PIK3CA_CNV,0.3253970741675326,0.009254593276786764,0.10292053186389624,0.0012475029051223978,-0.07661180681433964,-0.04800438694617157,0.000732717722574669,0.001038534094310374,1.0944803357732882e-05,0.0015143218840828329,0.062019225041318196,-0.0003791090877113594,0.014203330944135605,-0.04974464146719102
THPO_CNV,0.32561306507277976,0.01485012372899436,0.09825595919670349,0.0011462435884330743,-0.07775890998439115,-0.04696084884100658,0.0002391903539025538,6.396787428807586e-06,-2.6677917655541486e-06,0.0004137149749199784,0.06868139013764023,-0.008130380695611875,0.02407475433632095,-0.04813080470732002
CHRD_CNV,0.32561306507277976,0.01485012372899436,0.09825595919670349,0.0011462435884330743,-0.07775890998439115,-0.04696084884100658,0.0002391903539025538,6.396787428807586e-06,-2.6677917655541486e-06,0.0004137149749199784,0.06868139013764023,-0.008130380695611875,0.02407475433632095,-0.04813080470732002
POLR2H_CNV,0.3253003430849907,0.015072810388081987,0.09820695415332928,0.0011658752604749819,-0.07772574225256143,-0.047230256802821995,0.00023764993972590887,3.860847370574077e-06,-8.191859254363845e-06,0.0003832042431996541,0.0685085487466143,-0.008207655414662084,0.023937330029195108,-0.047997805715980946
EPHB3_CNV,0.32548418704666515,0.015040177481120512,0.09779564485880596,0.0016906377519539922,-0.07732214505892553,-0.04648646431471547,0.00029051096764681696,5.72587490466974e-05,-1.6765490398065376e-05,0.00041374239658144665,0.06871198617529159,-0.006503467321377533,0.023764087723838364,-0.0469935291174373
PEX5L_CNV,0.3260851071383834,0.009734416612820549,0.10395220510126534,0.0007982915351549918,-0.07281192700054784,-0.05062172961447519,0.0007419477725306278,0.005249811614151292,2.6130446210648555e-05,0.001980717712099602,0.062072474433934176,-0.0007695762868342689,0.01619838685120076,-0.049361093182480796
ZMAT3_CNV,0.3244122674171625,0.007233478553779224,0.10226072367087616,0.0005992458408503875,-0.07631135552168425,-0.04930050200979265,0.0006108007487731755,0.0008287286356575173,0.00012343699870854746,0.0014614269913633584,0.06185884125404277,-0.0004686071030569372,0.015671590499140305,-0.04936907510266341
KCNMB3_CNV,0.32438614595756027,0.009036077811280173,0.10229778965964957,0.0013943824278580632,-0.07586763419979226,-0.04837497325848442,0.000999364787810768,0.0022243121872978083,4.4866285038402685e-05,0.0031569396446272445,0.06265256464253219,-0.0002262815701804421,0.01515172531798371,-0.05039473073975438
